interest_rate,credit,march,may,previous,duration,y
1.334,0,1,0,0,117,no
0.767,0,0,2,1,274,yes
4.858,0,1,0,0,167,no
4.12,0,0,0,0,686,yes
4.856,0,1,0,0,157,no
0.899,0,0,1,0,126,no
4.962,0,0,0,0,84,no
4.858,0,1,0,0,17,no
4.962,0,0,0,0,704,yes
4.865,0,0,0,0,185,no
1.365,0,0,1,1,374,no
0.773,0,0,0,0,91,yes
0.714,0,0,2,1,169,yes
4.864,0,0,0,0,249,no
4.966,0,0,0,0,215,no
0.904,0,0,0,0,324,yes
0.849,0,0,2,1,159,yes
1.811,1,0,0,0,120,yes
1.264,0,1,0,0,337,yes
4.076,0,0,0,0,640,no
1.262,0,0,0,0,663,yes
0.695,0,1,2,1,403,yes
4.96,0,0,0,0,300,no
4.963,0,0,0,0,255,yes
1.354,0,1,1,1,293,yes
1.244,0,1,0,0,68,no
0.748,0,0,1,0,266,yes
0.878,0,0,0,0,272,yes
0.644,0,0,0,0,398,yes
4.968,0,0,0,0,126,no
4.965,0,0,0,0,35,no
1.244,0,1,0,0,126,no
4.856,0,1,0,0,683,yes
1.26,0,0,1,0,280,yes
4.864,0,0,0,0,161,no
4.86,0,1,0,0,191,no
1.327,0,1,1,0,1135,yes
4.076,0,0,0,0,81,no
1.811,1,0,0,0,1447,yes
1.266,0,1,0,0,436,no
4.592,0,0,0,0,132,no
0.739,0,0,0,0,328,yes
4.963,0,0,0,0,175,no
4.857,0,1,0,0,145,no
0.884,0,0,1,1,155,yes
0.739,0,0,1,0,115,yes
4.856,0,1,0,0,57,no
1.313,0,1,0,0,170,no
1.281,0,1,0,0,172,no
0.704,0,0,0,0,310,yes
4.962,0,0,0,0,711,no
4.12,0,0,0,0,63,no
4.964,0,0,0,0,87,no
4.957,0,0,0,0,154,no
4.864,0,1,0,0,124,no
0.683,0,1,3,1,328,yes
4.076,0,0,0,0,147,no
0.715,0,0,3,1,64,yes
1.483,0,0,0,0,739,yes
0.682,0,1,1,1,360,yes
4.964,0,0,0,0,105,no
1.244,0,1,0,0,113,no
1,0,0,0,0,767,yes
0.715,0,0,0,0,254,yes
4.97,0,0,0,0,341,no
1.313,0,1,0,0,301,no
4.968,0,0,0,0,148,no
